X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1132.85108	8.13714	100.22883	0.14500	-0.72829	172.62263	0.14110	-0.99164	0.12844	-0.01228	-0.12839	-0.99171	-0.00414	-0.01271	-0.00253	0.99992	
1132.85921	8.13408	100.23659	0.10608	-0.76752	172.64961	0.16472	-0.99169	0.12796	-0.01305	-0.12793	-0.99178	-0.00355	-0.01340	-0.00185	0.99991	
1132.92709	8.22632	100.20283	0.15426	-0.71470	172.72707	0.20489	-0.99188	0.12663	-0.01203	-0.12659	-0.99195	-0.00425	-0.01247	-0.00269	0.99992	
1132.81892	8.17398	100.22328	0.12723	-0.69881	172.59953	0.15918	-0.99160	0.12883	-0.01181	-0.12879	-0.99166	-0.00377	-0.01220	-0.00222	0.99992	
1132.83214	8.18428	100.21776	0.12748	-0.65257	172.60304	0.14867	-0.99161	0.12877	-0.01101	-0.12873	-0.99167	-0.00367	-0.01139	-0.00222	0.99993	
1132.84901	8.16605	100.23052	0.11985	-0.69556	172.61333	0.15436	-0.99163	0.12859	-0.01177	-0.12856	-0.99170	-0.00364	-0.01214	-0.00209	0.99992	
1132.83140	8.14561	100.25615	0.09844	-0.67176	172.61029	0.18625	-0.99163	0.12864	-0.01141	-0.12861	-0.99169	-0.00321	-0.01172	-0.00172	0.99993	
1132.82070	8.12418	100.22141	0.14391	-0.76321	172.61716	0.15384	-0.99162	0.12853	-0.01289	-0.12849	-0.99170	-0.00420	-0.01332	-0.00251	0.99991	
1132.79679	8.15644	100.20460	0.09668	-0.79664	172.59485	0.17138	-0.99156	0.12891	-0.01357	-0.12887	-0.99166	-0.00347	-0.01390	-0.00169	0.99990	
1132.79150	8.17507	100.24824	0.12040	-0.73965	172.61986	0.16843	-0.99163	0.12848	-0.01253	-0.12844	-0.99171	-0.00374	-0.01291	-0.00210	0.99991	
1132.74459	8.12908	100.23646	0.15825	-0.86289	172.66081	0.18480	-0.99169	0.12778	-0.01458	-0.12773	-0.99180	-0.00466	-0.01506	-0.00276	0.99988	
1132.76090	8.15536	100.28455	0.14358	-0.87252	172.73230	0.22132	-0.99185	0.12654	-0.01479	-0.12649	-0.99196	-0.00441	-0.01523	-0.00251	0.99988	
1132.75309	8.13867	100.30040	0.16143	-0.85356	172.74042	0.23965	-0.99187	0.12641	-0.01442	-0.12635	-0.99197	-0.00468	-0.01490	-0.00282	0.99989	
1132.77411	8.15116	100.26722	0.16305	-0.89395	172.70128	0.20007	-0.99178	0.12709	-0.01511	-0.12703	-0.99189	-0.00480	-0.01560	-0.00285	0.99987	
1132.81779	8.18361	100.22409	0.12538	-0.76372	172.59535	0.15214	-0.99157	0.12890	-0.01294	-0.12886	-0.99165	-0.00389	-0.01333	-0.00219	0.99991	
1132.98995	8.12434	100.16144	0.06727	-0.41913	172.47719	0.25517	-0.99137	0.13093	-0.00710	-0.13092	-0.99139	-0.00212	-0.00732	-0.00117	0.99997	
1133.04950	8.16665	100.14094	-0.01700	-0.30749	172.40860	0.30696	-0.99122	0.13211	-0.00536	-0.13211	-0.99124	-0.00041	-0.00537	0.00030	0.99999	
1133.05638	8.17949	100.13883	-0.02411	-0.27481	172.42281	0.28962	-0.99126	0.13186	-0.00481	-0.13186	-0.99127	-0.00022	-0.00480	0.00042	0.99999	
1133.00508	8.15507	100.09929	0.04084	-0.45389	172.48788	0.23029	-0.99139	0.13074	-0.00776	-0.13073	-0.99142	-0.00174	-0.00792	-0.00071	0.99997	
1132.92466	8.16856	100.16726	0.05021	-0.50655	172.53549	0.17291	-0.99149	0.12992	-0.00865	-0.12991	-0.99152	-0.00202	-0.00884	-0.00088	0.99996	
1132.96679	8.19223	100.13430	0.08126	-0.83164	172.47879	0.23987	-0.99129	0.13091	-0.01420	-0.13088	-0.99139	-0.00331	-0.01451	-0.00142	0.99989	
1132.86751	8.20256	100.17423	0.11992	-0.94640	172.50095	0.28776	-0.99131	0.13054	-0.01610	-0.13049	-0.99144	-0.00423	-0.01652	-0.00209	0.99986	
1132.89662	8.15670	100.17335	0.18916	-1.08278	172.53561	0.27482	-0.99135	0.12997	-0.01831	-0.12989	-0.99151	-0.00573	-0.01890	-0.00330	0.99982	
1132.88985	8.20345	100.18677	0.13386	-0.97542	172.52045	0.24465	-0.99135	0.13021	-0.01657	-0.13015	-0.99148	-0.00453	-0.01702	-0.00234	0.99985	
1132.89648	8.19543	100.22959	0.11524	-0.85961	172.53145	0.26942	-0.99140	0.13001	-0.01461	-0.12997	-0.99151	-0.00394	-0.01500	-0.00201	0.99989	
1132.90653	8.18277	100.21173	0.14298	-0.93128	172.53238	0.26134	-0.99139	0.13001	-0.01579	-0.12995	-0.99151	-0.00459	-0.01625	-0.00250	0.99986	
1132.88832	8.18397	100.20203	0.13914	-1.05608	172.54440	0.28443	-0.99138	0.12980	-0.01796	-0.12974	-0.99154	-0.00480	-0.01843	-0.00243	0.99983	
1132.89091	8.17296	100.18352	0.13059	-0.97802	172.55318	0.26661	-0.99142	0.12964	-0.01663	-0.12959	-0.99156	-0.00447	-0.01707	-0.00228	0.99985	
1132.86461	8.19355	100.22032	0.14092	-0.89658	172.51292	0.27079	-0.99135	0.13034	-0.01519	-0.13029	-0.99147	-0.00448	-0.01565	-0.00246	0.99987	
1132.90869	8.17838	100.18895	0.13958	-1.02312	172.52765	0.28707	-0.99135	0.13009	-0.01739	-0.13003	-0.99150	-0.00474	-0.01786	-0.00244	0.99984	
1132.90612	8.18284	100.18882	0.12924	-0.94488	172.53258	0.29473	-0.99138	0.13000	-0.01606	-0.12994	-0.99151	-0.00438	-0.01649	-0.00226	0.99986	
1132.89717	8.20803	100.18782	0.12797	-0.96771	172.53053	0.28277	-0.99137	0.13003	-0.01646	-0.12998	-0.99151	-0.00441	-0.01689	-0.00223	0.99985	
1132.84934	8.21163	100.20011	0.17317	-0.95349	172.50278	0.26168	-0.99131	0.13053	-0.01610	-0.13046	-0.99144	-0.00517	-0.01664	-0.00302	0.99986	
1132.89342	8.20383	100.20720	0.13506	-0.91193	172.52277	0.26901	-0.99137	0.13017	-0.01547	-0.13012	-0.99149	-0.00441	-0.01592	-0.00236	0.99987	
1132.86287	8.20398	100.19065	0.11973	-0.95149	172.51224	0.27775	-0.99134	0.13035	-0.01619	-0.13030	-0.99147	-0.00424	-0.01661	-0.00209	0.99986	
1132.88879	8.18401	100.18127	0.12250	-0.96607	172.53656	0.28695	-0.99139	0.12993	-0.01644	-0.12988	-0.99152	-0.00431	-0.01686	-0.00214	0.99986	
1132.88253	8.19016	100.15799	0.12058	-1.08203	172.51735	0.28451	-0.99131	0.13027	-0.01845	-0.13020	-0.99148	-0.00455	-0.01888	-0.00210	0.99982	
1132.88708	8.17083	100.16842	0.14978	-1.07422	172.54404	0.26407	-0.99137	0.12981	-0.01825	-0.12974	-0.99154	-0.00502	-0.01875	-0.00261	0.99982	
1132.89350	8.18851	100.21822	0.14126	-0.95196	172.52255	0.27133	-0.99136	0.13018	-0.01615	-0.13012	-0.99149	-0.00461	-0.01661	-0.00247	0.99986	
1132.88446	8.16612	100.19691	0.14959	-0.99866	172.55258	0.27493	-0.99141	0.12966	-0.01694	-0.12960	-0.99155	-0.00485	-0.01743	-0.00261	0.99984	
1132.87382	8.19493	100.22754	0.10598	-0.94836	172.50696	0.31031	-0.99132	0.13044	-0.01617	-0.13039	-0.99146	-0.00399	-0.01655	-0.00185	0.99986	
1132.89883	8.16822	100.19148	0.16117	-0.96847	172.55298	0.28600	-0.99142	0.12966	-0.01639	-0.12959	-0.99156	-0.00498	-0.01690	-0.00281	0.99985	
1132.88688	8.17666	100.21577	0.14658	-0.93893	172.54753	0.28284	-0.99142	0.12974	-0.01592	-0.12969	-0.99154	-0.00466	-0.01639	-0.00256	0.99986	
