x, y, z, qx, qy, qz, qw
-0.0311946200, 0.0002055860, 0.1149325000, 0.0198776100, 0.0001726335, 0.0211755900, 0.9995781000
-0.0312209100, 0.0001742371, 0.1149391000, 0.0197976100, 0.0001726335, 0.0211699600, 0.9995798000
-0.0312194900, 0.0001685421, 0.1149290000, 0.0198250600, 0.0001220703, 0.0211829800, 0.9995791000
-0.0312175500, 0.0001265066, 0.1149343000, 0.0197776500, 0.0001220703, 0.0211724300, 0.9995802000
-0.0312081800, 0.0000988001, 0.1149371000, 0.0197648400, 0.0001220703, 0.0211625700, 0.9995807000
-0.0312152200, 0.0001174480, 0.1149244000, 0.0198310700, 0.0001726335, 0.0211826300, 0.9995790000
-0.0312199300, 0.0000938509, 0.1149288000, 0.0197897000, 0.0001726335, 0.0211826300, 0.9995798000
-0.0312317600, 0.0000786850, 0.1149323000, 0.0197930900, 0.0001726335, 0.0211763000, 0.9995798000
-0.0312306600, 0.0000728010, 0.1149222000, 0.0197949700, 0.0001220703, 0.0211865000, 0.9995795000
-0.0312294400, 0.0000139972, 0.1149302000, 0.0197569200, 0.0001220703, 0.0211759500, 0.9995805000
-0.0312399600, -0.0000023347, 0.1149339000, 0.0197776500, 0.0001726335, 0.0211706700, 0.9995803000
-0.0312370300, -0.0000185126, 0.1149472000, 0.0197625800, 0.0001220703, 0.0211618700, 0.9995807000
-0.0312249500, -0.0000311769, 0.1149409000, 0.0197806600, 0.0001220703, 0.0211555300, 0.9995805000
-0.0312260200, -0.0000365227, 0.1149442000, 0.0197810400, 0.0001726335, 0.0211833300, 0.9995799000
-0.0312274800, -0.0000408422, 0.1149418000, 0.0197791600, 0.0001726335, 0.0211805200, 0.9995800000
-0.0312227700, -0.0000446082, 0.1149377000, 0.0197836800, 0.0001220703, 0.0211759500, 0.9995800000
-0.0311909000, -0.0001273898, 0.1149464000, 0.0197074600, 0.0000000000, 0.0211622200, 0.9995818000
-0.0312040500, -0.0001315557, 0.1149498000, 0.0197742600, 0.0001726335, 0.0211748900, 0.9995802000
-0.0312086100, -0.0000614055, 0.1149471000, 0.0198348300, 0.0001726335, 0.0211671500, 0.9995792000
-0.0312004200, -0.0000656220, 0.1149529000, 0.0197776500, 0.0001220703, 0.0211787600, 0.9995801000
-0.0311983000, -0.0000818139, 0.1149321000, 0.0197682300, 0.0001726335, 0.0211763000, 0.9995803000
-0.0311847400, -0.0000850625, 0.1149189000, 0.0197934700, 0.0001220703, 0.0211463700, 0.9995805000
-0.0312037200, -0.0000444201, 0.1149198000, 0.0198303200, 0.0001726335, 0.0211777000, 0.9995790000
-0.0312041800, -0.0000562456, 0.1149229000, 0.0197810400, 0.0001726335, 0.0211755900, 0.9995800000
-0.0311972300, -0.0000632809, 0.1149312000, 0.0197682300, 0.0001220703, 0.0211773500, 0.9995803000
-0.0312242800, -0.0000598203, 0.1149385000, 0.0197927100, 0.0001726335, 0.0211664400, 0.9995800000
-0.0312110700, -0.0000694009, 0.1149410000, 0.0197686100, 0.0001220703, 0.0211752400, 0.9995803000
-0.0311835600, -0.0000836182, 0.1149526000, 0.0197769000, 0.0001220703, 0.0211484800, 0.9995807000
-0.0312011900, -0.0000658544, 0.1149484000, 0.0198077700, 0.0001726335, 0.0211812200, 0.9995794000
-0.0312073400, -0.0000804973, 0.1149592000, 0.0197659700, 0.0001726335, 0.0211692600, 0.9995805000
-0.0312007600, -0.0000955650, 0.1149844000, 0.0197535300, 0.0001220703, 0.0211731300, 0.9995807000
-0.0312066400, -0.0001012874, 0.1149917000, 0.0197535300, 0.0001726335, 0.0211777000, 0.9995806000
-0.0312166800, -0.0000925823, 0.1149860000, 0.0197870700, 0.0001726335, 0.0211720700, 0.9995800000
-0.0312165100, -0.0001147440, 0.1149949000, 0.0197523900, 0.0001220703, 0.0211717200, 0.9995807000
