rx, ry, rz, qx, qy, qz, qw
0.0371821900, -0.0494996700, -1.074032000, -0.2072393000, -0.3621711000, -0.1049516000, -0.902701000
0.0371821900, -0.0494996700, -1.074032000, -0.2072393000, -0.3621711000, -0.1049516000, -0.902701000
0.0371821900, -0.0494996700, -1.074032000, -0.2072393000, -0.3621711000, -0.1049516000, -0.902701000
0.0371821900, -0.0494996700, -1.074032000, -0.2072393000, -0.3621711000, -0.1049516000, -0.902701000
0.0371821900, -0.0494996700, -1.074032000, -0.2072393000, -0.3621711000, -0.1049516000, -0.902701000
0.0371821300, -0.0495055700, -1.074043000, -0.2071966000, -0.3622015000, -0.1049369000, -0.902700400
0.0371821300, -0.0495055700, -1.074043000, -0.2071966000, -0.3622015000, -0.1049369000, -0.902700400
0.0371821300, -0.0495055700, -1.074043000, -0.2071966000, -0.3622015000, -0.1049369000, -0.902700400
0.0371821300, -0.0495055700, -1.074043000, -0.2071966000, -0.3622015000, -0.1049369000, -0.902700400
0.0371821300, -0.0495055700, -1.074043000, -0.2071966000, -0.3622015000, -0.1049369000, -0.902700400
0.0371821300, -0.0495055700, -1.074043000, -0.2071966000, -0.3622015000, -0.1049369000, -0.902700400
0.0371951400, -0.0494960500, -1.074031000, -0.2071696000, -0.3620648000, -0.1049834000, -0.902756000
0.0371951400, -0.0494960500, -1.074031000, -0.2071696000, -0.3620648000, -0.1049834000, -0.902756000
0.0371951400, -0.0494960500, -1.074031000, -0.2071696000, -0.3620648000, -0.1049834000, -0.902756000
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372049000, -0.0495108200, -1.074037000, -0.2071601000, -0.3621560000, -0.1049314000, -0.902727600
0.0372157700, -0.0495083300, -1.074045000, -0.2073208000, -0.3620974000, -0.1049715000, -0.902709600
0.0372157700, -0.0495083300, -1.074045000, -0.2073208000, -0.3620974000, -0.1049715000, -0.902709600
0.0372157700, -0.0495083300, -1.074045000, -0.2073208000, -0.3620974000, -0.1049715000, -0.902709600
0.0372157700, -0.0495083300, -1.074045000, -0.2073208000, -0.3620974000, -0.1049715000, -0.902709600
0.0372157700, -0.0495083300, -1.074045000, -0.2073208000, -0.3620974000, -0.1049715000, -0.902709600
0.0372157700, -0.0495083300, -1.074045000, -0.2073208000, -0.3620974000, -0.1049715000, -0.902709600
0.0372164400, -0.0495103100, -1.074056000, -0.2073392000, -0.3620619000, -0.1049415000, -0.902723100
0.0372164400, -0.0495103100, -1.074056000, -0.2073392000, -0.3620619000, -0.1049415000, -0.902723100
0.0372164400, -0.0495103100, -1.074056000, -0.2073392000, -0.3620619000, -0.1049415000, -0.902723100
0.0372164400, -0.0495103100, -1.074056000, -0.2073392000, -0.3620619000, -0.1049415000, -0.902723100
0.0372164400, -0.0495103100, -1.074056000, -0.2073392000, -0.3620619000, -0.1049415000, -0.902723100
0.0372164400, -0.0495103100, -1.074056000, -0.2073392000, -0.3620619000, -0.1049415000, -0.902723100
0.0372290700, -0.0494972000, -1.074038000, -0.2070154000, -0.3621433000, -0.1049963000, -0.902758400
0.0372290700, -0.0494972000, -1.074038000, -0.2070154000, -0.3621433000, -0.1049963000, -0.902758400
0.0372290700, -0.0494972000, -1.074038000, -0.2070154000, -0.3621433000, -0.1049963000, -0.902758400
0.0372290700, -0.0494972000, -1.074038000, -0.2070154000, -0.3621433000, -0.1049963000, -0.902758400
0.0372290700, -0.0494972000, -1.074038000, -0.2070154000, -0.3621433000, -0.1049963000, -0.902758400
0.0372290700, -0.0494972000, -1.074038000, -0.2070154000, -0.3621433000, -0.1049963000, -0.902758400
0.0372153500, -0.0495035000, -1.074043000, -0.2072234000, -0.3621771000, -0.1049810000, -0.902698900
