rx, ry, rz, ax, ay, az, qx, qy, qz, qw
-0.4537622000, 0.0567721400, -0.138313900, -0.1147899000, -0.6685888000, 0.0549686500, -0.732660200, -0.0244476200, 1.6641880000, 1.079688000
-0.4538487000, 0.0569200500, -0.138308000, -0.1130355000, -0.6681702000, 0.0534838700, -0.733424200, 0.1168060000, 1.3966470000, 1.147765000
-0.4536408000, 0.0577509100, -0.138752400, -0.1115078000, -0.6699136000, 0.0533314900, -0.732077500, 0.0830817900, 1.2961230000, 1.214228000
-0.4536408000, 0.0577509100, -0.138752400, -0.1115078000, -0.6699136000, 0.0533314900, -0.732077500, 0.0830817900, 1.2961230000, 1.214228000
-0.4537175000, 0.0577577200, -0.138825900, -0.1105061000, -0.6693081000, 0.0519055700, -0.732885400, 0.2790155000, 0.9371117000, 1.236531000
-0.4534671000, 0.0585728600, -0.139064800, -0.1083285000, -0.6717175000, 0.0513695500, -0.731041500, 0.1478044000, 0.8112039000, 1.194520000
-0.4534671000, 0.0585728600, -0.139064800, -0.1083285000, -0.6717175000, 0.0513695500, -0.731041500, 0.1478044000, 0.8112039000, 1.194520000
-0.4536361000, 0.0585182600, -0.139246700, -0.1076275000, -0.6703305000, 0.0500650600, -0.732507200, 0.0704304500, 0.0715885600, 1.197379000
-0.4533616000, 0.0593067300, -0.139543200, -0.1056896000, -0.6717249000, 0.0487816200, -0.731598100, 0.2690659000, 0.1551967000, 0.866380300
-0.4533616000, 0.0593067300, -0.139543200, -0.1056896000, -0.6717249000, 0.0487816200, -0.731598100, 0.2690659000, 0.1551967000, 0.866380300
-0.4534111000, 0.0592255900, -0.139609900, -0.1054611000, -0.6713898000, 0.0484454900, -0.731961000, 0.2750020000, -0.4759452000, 1.089041000
-0.4531221000, 0.0600096200, -0.139838700, -0.1030616000, -0.6725205000, 0.0475302100, -0.731324500, 0.5086483000, -0.2588527000, 1.161574000
-0.4531221000, 0.0600096200, -0.139838700, -0.1030616000, -0.6725205000, 0.0475302100, -0.731324500, 0.5086483000, -0.2588527000, 1.161574000
