X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
-761.24630	55.85923	158.26634	0.97224	16.19716	31.62953	0.15103	0.81766	0.52838	-0.22858	-0.50361	0.84885	0.16071	0.27894	-0.01629	0.96017	
-761.23408	55.84372	158.23973	0.94552	16.17565	31.62712	0.13674	0.81777	0.52823	-0.22852	-0.50363	0.84895	0.16012	0.27858	-0.01585	0.96028	
-761.24046	55.85079	158.23858	0.95471	16.19036	31.62919	0.14082	0.81769	0.52830	-0.22864	-0.50362	0.84891	0.16039	0.27883	-0.01600	0.96021	
-761.23658	55.84363	158.25544	0.95809	16.20666	31.62581	0.14172	0.81765	0.52827	-0.22885	-0.50353	0.84892	0.16057	0.27910	-0.01606	0.96013	
-761.22756	55.85159	158.25808	0.96901	16.24180	31.62047	0.15623	0.81755	0.52824	-0.22927	-0.50337	0.84894	0.16102	0.27969	-0.01624	0.95995	
-761.23424	55.84425	158.23927	0.96120	16.16852	31.62631	0.13035	0.81781	0.52828	-0.22828	-0.50364	0.84892	0.16028	0.27846	-0.01611	0.96031	
-761.22434	55.87206	158.25990	0.95885	16.20001	31.62397	0.14800	0.81770	0.52824	-0.22876	-0.50352	0.84894	0.16052	0.27899	-0.01607	0.96016	
-761.22206	55.85494	158.25053	0.93402	16.12295	31.62801	0.11553	0.81798	0.52819	-0.22787	-0.50378	0.84898	0.15949	0.27770	-0.01566	0.96054	
-761.21104	55.85446	158.25741	0.97241	16.22412	31.62564	0.13691	0.81758	0.52833	-0.22897	-0.50348	0.84888	0.16094	0.27940	-0.01630	0.96004	
-761.21549	55.86285	158.23820	0.95395	16.22939	31.62257	0.14921	0.81759	0.52821	-0.22922	-0.50343	0.84896	0.16070	0.27948	-0.01599	0.96002	
-761.22271	55.82912	158.22106	0.95597	16.12274	31.63712	0.12322	0.81790	0.52841	-0.22764	-0.50391	0.84884	0.15985	0.27770	-0.01603	0.96054	
-761.23162	55.85390	158.23092	0.98395	16.18527	31.62186	0.16163	0.81778	0.52831	-0.22832	-0.50353	0.84889	0.16075	0.27874	-0.01649	0.96022	
-761.21301	55.84141	158.25063	0.96409	16.20198	31.62617	0.14165	0.81767	0.52830	-0.22873	-0.50355	0.84891	0.16062	0.27902	-0.01616	0.96015	
-761.21097	55.83785	158.24170	0.96017	16.14322	31.62971	0.12903	0.81788	0.52832	-0.22792	-0.50375	0.84889	0.16006	0.27804	-0.01610	0.96043	
-761.21914	55.83994	158.24834	0.95598	16.19258	31.62791	0.13282	0.81769	0.52829	-0.22866	-0.50360	0.84891	0.16042	0.27887	-0.01602	0.96020	
-761.22892	55.84134	158.26671	0.96151	16.16839	31.63351	0.13673	0.81774	0.52839	-0.22825	-0.50374	0.84885	0.16032	0.27846	-0.01612	0.96031	
-761.23008	55.84679	158.22864	0.94278	16.15001	31.64271	0.14228	0.81774	0.52845	-0.22814	-0.50392	0.84882	0.15991	0.27815	-0.01580	0.96041	
-761.21512	55.83270	158.25868	0.96566	16.15111	31.62727	0.13779	0.81787	0.52831	-0.22799	-0.50369	0.84890	0.16020	0.27817	-0.01619	0.96039	
-761.22403	55.84377	158.24078	0.95027	16.14845	31.62968	0.13767	0.81786	0.52828	-0.22808	-0.50374	0.84892	0.15996	0.27813	-0.01593	0.96041	
