-572.81429	-146.12361	-77.38464	0.01889	1.55462	-0.70494	0.49310	0.99956	-0.01229	-0.02713	0.01230	0.99992	-0.00000	0.02713	-0.00033	0.99963	
-572.82344	-146.14199	-77.38330	0.01551	1.55887	-0.70630	0.49360	0.99955	-0.01232	-0.02721	0.01232	0.99992	-0.00006	0.02720	-0.00027	0.99963	
-572.82439	-146.13841	-77.39513	0.02252	1.56304	-0.70826	0.49046	0.99955	-0.01235	-0.02728	0.01236	0.99992	0.00006	0.02728	-0.00039	0.99963	
-572.83802	-146.14288	-77.38998	0.01636	1.56699	-0.70552	0.49739	0.99955	-0.01231	-0.02735	0.01231	0.99992	-0.00005	0.02735	-0.00029	0.99963	
-572.83357	-146.14140	-77.38333	0.01686	1.56099	-0.70558	0.48880	0.99955	-0.01231	-0.02724	0.01231	0.99992	-0.00004	0.02724	-0.00029	0.99963	
-572.83288	-146.13332	-77.38424	0.01779	1.55543	-0.71135	0.49401	0.99955	-0.01241	-0.02715	0.01241	0.99992	-0.00003	0.02714	-0.00031	0.99963	
-572.82899	-146.12002	-77.38341	0.01859	1.54088	-0.70499	0.49718	0.99956	-0.01230	-0.02689	0.01230	0.99992	-0.00001	0.02689	-0.00032	0.99964	
-572.82206	-146.10969	-77.37844	0.01339	1.54272	-0.70355	0.49397	0.99956	-0.01227	-0.02692	0.01227	0.99992	-0.00010	0.02692	-0.00023	0.99964	
-572.73564	-146.16830	-77.46858	0.00364	1.49410	-0.68908	0.49688	0.99959	-0.01202	-0.02607	0.01202	0.99993	-0.00025	0.02607	-0.00006	0.99966	
-572.73479	-146.17387	-77.48680	0.00191	1.49304	-0.69193	0.49560	0.99959	-0.01208	-0.02605	0.01207	0.99993	-0.00028	0.02606	-0.00003	0.99966	
-572.71825	-146.18208	-77.49745	0.00437	1.49234	-0.68704	0.49812	0.99959	-0.01199	-0.02604	0.01199	0.99993	-0.00024	0.02604	-0.00008	0.99966	
-572.72241	-146.19758	-77.50211	0.00446	1.48702	-0.68428	0.50043	0.99959	-0.01194	-0.02595	0.01194	0.99993	-0.00023	0.02595	-0.00008	0.99966	
-572.71209	-146.21039	-77.51837	0.00252	1.48393	-0.68594	0.49468	0.99959	-0.01197	-0.02590	0.01197	0.99993	-0.00027	0.02590	-0.00004	0.99966	
-572.71496	-146.22693	-77.52046	0.00558	1.48106	-0.68197	0.49439	0.99960	-0.01190	-0.02585	0.01190	0.99993	-0.00021	0.02585	-0.00010	0.99967	
