X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1231.63826	-61.21444	100.81412	0.02896	-1.52748	176.07361	0.14600	-0.99730	0.06849	-0.02656	-0.06845	-0.99765	-0.00233	-0.02666	-0.00051	0.99964	
1231.66997	-61.17775	100.82730	0.07939	-1.49568	176.04097	0.14440	-0.99727	0.06908	-0.02594	-0.06902	-0.99761	-0.00318	-0.02610	-0.00139	0.99966	
1231.63370	-61.20628	100.77751	0.08641	-1.55492	176.04768	0.12222	-0.99725	0.06897	-0.02697	-0.06890	-0.99762	-0.00337	-0.02714	-0.00151	0.99963	
1231.65753	-61.17903	100.82651	0.07460	-1.47256	176.03842	0.11661	-0.99728	0.06912	-0.02555	-0.06906	-0.99761	-0.00307	-0.02570	-0.00130	0.99967	
1231.65273	-61.19399	100.80564	0.05816	-1.51012	176.05563	0.13393	-0.99728	0.06881	-0.02622	-0.06876	-0.99763	-0.00283	-0.02635	-0.00101	0.99965	
1231.66142	-61.19072	100.81238	0.05595	-1.45709	176.03903	0.13703	-0.99729	0.06910	-0.02530	-0.06905	-0.99761	-0.00273	-0.02543	-0.00098	0.99968	
1231.63286	-61.20958	100.82494	0.07543	-1.50419	176.07011	0.10582	-0.99730	0.06857	-0.02610	-0.06851	-0.99765	-0.00311	-0.02625	-0.00132	0.99965	
1231.64384	-61.18689	100.81973	0.07212	-1.43598	176.02344	0.12852	-0.99728	0.06938	-0.02491	-0.06933	-0.99759	-0.00299	-0.02506	-0.00126	0.99969	
1231.66047	-61.19329	100.82934	0.07515	-1.42921	176.04532	0.13835	-0.99731	0.06900	-0.02479	-0.06895	-0.99762	-0.00303	-0.02494	-0.00131	0.99969	
1231.65737	-61.18845	100.83955	0.06854	-1.47503	176.02930	0.12059	-0.99727	0.06928	-0.02560	-0.06922	-0.99760	-0.00298	-0.02574	-0.00120	0.99967	
1231.64482	-61.20312	100.79887	0.04344	-1.56323	176.06282	0.14078	-0.99727	0.06868	-0.02716	-0.06864	-0.99764	-0.00263	-0.02728	-0.00076	0.99963	
1231.62100	-61.21524	100.78673	0.05431	-1.53193	176.06966	0.13114	-0.99729	0.06857	-0.02661	-0.06852	-0.99765	-0.00278	-0.02673	-0.00095	0.99964	
1231.63491	-61.21794	100.78152	0.05608	-1.64969	176.07680	0.12920	-0.99724	0.06845	-0.02865	-0.06839	-0.99765	-0.00295	-0.02879	-0.00098	0.99959	
1231.65826	-61.19585	100.83181	0.05218	-1.43542	176.03276	0.13048	-0.99729	0.06921	-0.02493	-0.06916	-0.99760	-0.00264	-0.02505	-0.00091	0.99969	
1231.61898	-61.21684	100.79944	0.05273	-1.54011	176.05991	0.13138	-0.99728	0.06874	-0.02675	-0.06869	-0.99763	-0.00276	-0.02688	-0.00092	0.99964	
1231.65084	-61.19877	100.82359	0.04967	-1.42017	176.04495	0.14104	-0.99731	0.06900	-0.02467	-0.06895	-0.99762	-0.00257	-0.02478	-0.00087	0.99969	
1231.62944	-61.18723	100.82243	0.06769	-1.45051	176.04326	0.14039	-0.99730	0.06903	-0.02517	-0.06898	-0.99761	-0.00293	-0.02531	-0.00118	0.99968	
1231.62523	-61.19406	100.80862	0.06145	-1.58058	176.05423	0.11058	-0.99725	0.06884	-0.02744	-0.06879	-0.99763	-0.00297	-0.02758	-0.00107	0.99962	
1231.61610	-61.20839	100.78713	0.04722	-1.50079	176.04828	0.13020	-0.99728	0.06894	-0.02607	-0.06889	-0.99762	-0.00263	-0.02619	-0.00082	0.99966	
1231.63130	-61.18159	100.81905	0.09315	-1.51754	176.03088	0.12627	-0.99725	0.06926	-0.02631	-0.06919	-0.99760	-0.00346	-0.02648	-0.00163	0.99965	
1231.64405	-61.16986	100.82311	0.06682	-1.47038	176.04457	0.11615	-0.99729	0.06901	-0.02552	-0.06896	-0.99762	-0.00293	-0.02566	-0.00117	0.99967	
1231.60710	-61.23136	100.81594	0.08328	-1.55878	176.08736	0.11919	-0.99730	0.06827	-0.02704	-0.06821	-0.99767	-0.00331	-0.02720	-0.00145	0.99963	
1231.63693	-61.18787	100.82382	0.07387	-1.45894	176.02754	0.12392	-0.99727	0.06931	-0.02531	-0.06925	-0.99759	-0.00305	-0.02546	-0.00129	0.99967	
1231.61980	-61.17970	100.83838	0.05297	-1.40771	176.04962	0.12861	-0.99732	0.06892	-0.02444	-0.06887	-0.99762	-0.00261	-0.02457	-0.00092	0.99970	
1231.62257	-61.17629	100.84755	0.07235	-1.41602	176.04091	0.12821	-0.99731	0.06908	-0.02457	-0.06902	-0.99761	-0.00297	-0.02471	-0.00126	0.99969	
1231.63759	-61.19230	100.82432	0.07289	-1.47871	176.02876	0.12685	-0.99727	0.06929	-0.02566	-0.06923	-0.99760	-0.00306	-0.02581	-0.00127	0.99967	
1231.60562	-61.22835	100.80371	0.07416	-1.57345	176.07358	0.12748	-0.99728	0.06851	-0.02731	-0.06845	-0.99765	-0.00317	-0.02746	-0.00129	0.99962	
1231.61150	-61.17726	100.82761	0.09302	-1.40977	176.04504	0.12303	-0.99732	0.06901	-0.02443	-0.06895	-0.99761	-0.00332	-0.02460	-0.00162	0.99970	
